#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Agent.Listener","0","596","2203924553728","59355136","61296640","54680","C:\azagent\A3\bin\Agent.Listener.exe","Agent.Listener","32.921875","2.186.1.0","2.186.1","Agent.Listener","Agent.Listener","Process","10",,"False",,"6008","Microsoft.Win32.SafeHandles.SafeProcessHandle","596","3960",".","0","","System.Diagnostics.ProcessModule (Agent.Listener.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","54680","54680","61296640","61296640","250448","250448","74338304","74338304","75075584","75075584","634904576","2203953127424","True","AboveNormal","61296640","61296640","00:00:06.7343750","Agent.Listener","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:23:49",,"System.Diagnostics.ProcessThreadCollection","00:00:32.9218750","00:00:26.1875000","606330880","2203924553728","False",,,,"59355136","59355136",,
"Agent.Listener","0","598","2203924844544","53829632","55074816","54952","C:\azagent\A4\bin\Agent.Listener.exe","Agent.Listener","31.203125","2.186.1.0","2.186.1","Agent.Listener","Agent.Listener","Process","10",,"False",,"5660","Microsoft.Win32.SafeHandles.SafeProcessHandle","598","7980",".","0","","System.Diagnostics.ProcessModule (Agent.Listener.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","54952","54952","55074816","55074816","250448","250448","72257536","72257536","73306112","73306112","634605568","2203952828416","True","AboveNormal","55074816","55074816","00:00:06.6093750","Agent.Listener","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:23:49",,"System.Diagnostics.ProcessThreadCollection","00:00:31.2031250","00:00:24.5937500","606621696","2203924844544","False",,,,"53829632","53829632",,
"AgentService","0","273","117927936","5144576","9838592","15968","C:\azagent\A4\bin\AgentService.exe","","0.421875","1.0.0.0","1.0.0.0","AgentService","AgentService","Process","8",,"False",,"4672","Microsoft.Win32.SafeHandles.SafeProcessHandle","273","7728",".","0","","System.Diagnostics.ProcessModule (AgentService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15968","15968","9838592","9838592","164808","164808","10293248","10293248","14946304","14946304","130265088","130265088","True","Normal","9838592","9838592","00:00:00.2500000","AgentService","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:23:49",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4218750","00:00:00.1718750","117927936","117927936","False",,,,"5144576","5144576",,
"AgentService","0","278","117706752","5136384","9773056","15696","C:\azagent\A3\bin\AgentService.exe","","0.234375","1.0.0.0","1.0.0.0","AgentService","AgentService","Process","8",,"False",,"5844","Microsoft.Win32.SafeHandles.SafeProcessHandle","278","8840",".","0","","System.Diagnostics.ProcessModule (AgentService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15696","15696","9773056","9773056","164824","164824","10231808","10231808","14942208","14942208","130265088","130265088","True","Normal","9773056","9773056","00:00:00.1406250","AgentService","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:23:49",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","00:00:00.0937500","117706752","117706752","False",,,,"5136384","5136384",,
"ApMsgFwd","1","149","4410302464","1806336","1863680","10736","C:\WINDOWS\system32\DellTPad\ApMsgFwd.exe","Alps Electric Co., Ltd.","231.875","8, 1, 0, 157","8, 1, 0, 157","ApMsgFwd","ApMsgFwd","Process","8",,"False",,"5756","Microsoft.Win32.SafeHandles.SafeProcessHandle","149","8320",".","0","","System.Diagnostics.ProcessModule (ApMsgFwd.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10736","10736","1863680","1863680","156368","156368","1925120","1925120","8519680","8519680","117432320","4412399616","True","Normal","1863680","1863680","00:03:02.8593750","ApMsgFwd","255","True","1","System.Diagnostics.ProcessStartInfo","31-05-2021 20:22:01",,"System.Diagnostics.ProcessThreadCollection","00:03:51.8750000","00:00:49.0156250","115335168","4410302464","False",,,,"1806336","1806336",,
"ApntEx","1","153","4404305920","2682880","1740800","9984","C:\WINDOWS\system32\DellTPad\Apntex.exe","Alps Electric Co., Ltd.","0.125","8, 1, 0, 139","8, 1, 0, 139","Alps Pointing-device Driver for Windows","Alps Pointing-device Driver for Windows","Process","8",,"False",,"5372","Microsoft.Win32.SafeHandles.SafeProcessHandle","153","8768",".","0","","System.Diagnostics.ProcessModule (Apntex.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9984","9984","1740800","1740800","144872","144872","1798144","1798144","7532544","7532544","112566272","4407533568","True","Normal","1740800","1740800","00:00:00.1093750","ApntEx","255","True","1","System.Diagnostics.ProcessStartInfo","31-05-2021 20:22:02",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0156250","109338624","4404305920","False",,,,"2682880","2682880",,
"Apoint","1","310","2203457429504","5230592","3424256","16416","C:\WINDOWS\system32\DellTPad\Apoint.exe","Alps Electric Co., Ltd.","34.0625","10.1.102.555","10.1.102.555","Alps Pointing-device Driver","Alps Pointing-device Driver","Process","8",,"False",,"5736","Microsoft.Win32.SafeHandles.SafeProcessHandle","310","7804",".","0","","System.Diagnostics.ProcessModule (Apoint.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16416","16416","3424256","3424256","208824","208824","3809280","3809280","19197952","19197952","151810048","2203470032896","True","Normal","3424256","3424256","00:00:29.3125000","Apoint","255","True","1","System.Diagnostics.ProcessStartInfo","31-05-2021 20:22:01",,"System.Diagnostics.ProcessThreadCollection","00:00:34.0625000","00:00:04.7500000","139206656","2203457429504","False",,,,"5230592","5230592",,
"ApplicationFrameHost","1","507","2203593728000","31707136","26464256","30048","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","4.21875","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5832","Microsoft.Win32.SafeHandles.SafeProcessHandle","507","6952",".","7734432","Settings","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30048","30048","26464256","26464256","415416","415416","38858752","38858752","44486656","44486656","288997376","2203607220224","True","Normal","26464256","26464256","00:00:02.3906250","ApplicationFrameHost","255","True","1","System.Diagnostics.ProcessStartInfo","31-05-2021 20:25:04",,"System.Diagnostics.ProcessThreadCollection","00:00:04.2187500","00:00:01.8281250","275505152","2203593728000","False",,,,"31707136","31707136",,
"ApRemote","1","75","4373204992","905216","827392","5224","C:\WINDOWS\system32\DellTPad\ApRemote.exe","Alps Electric Co., Ltd.","0.03125","10.1.101.6","10.1.101.6","ApRemote","Alps Pointing-device Driver","Process","8",,"False",,"5768","Microsoft.Win32.SafeHandles.SafeProcessHandle","75","8608",".","0","","System.Diagnostics.ProcessModule (ApRemote.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5224","5224","827392","827392","85392","85392","880640","880640","4390912","4390912","80334848","4375302144","True","Normal","827392","827392","00:00:00.0312500","ApRemote","255","True","1","System.Diagnostics.ProcessStartInfo","31-05-2021 20:22:01",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","78237696","4373204992","False",,,,"905216","905216",,
"armsvc","0","132","37773312","6709248","1269760","9096","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe","Adobe Systems Incorporated","0.015625","1.802.11.4130","1.802.11.4130","Adobe Acrobat Update Service","Adobe Acrobat Update Service","Process","8",,"False",,"5804","Microsoft.Win32.SafeHandles.SafeProcessHandle","132","19900",".","0","","System.Diagnostics.ProcessModule (armsvc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9096","9096","1269760","1269760","77400","77400","1531904","1531904","7426048","7426048","42905600","42905600","True","Normal","1269760","1269760","00:00:00.0156250","armsvc","255","True","0","System.Diagnostics.ProcessStartInfo","02-06-2021 11:15:05",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","37773312","37773312","False",,,,"6709248","6709248",,
